Model,Pipeline,Threshold
HeteroGATv2,No Balancing,0.5060000000000002
MOGAT,No Balancing,0.5120000000000002
HyperTMO,No Balancing,0.5240000000000002
RGCN,No Balancing,0.42600000000000005
VEGN,No Balancing,0.45400000000000007
FastHGTConv,No Balancing,0.4620000000000002
SGNN,No Balancing,0.5140000000000002
HeteroGATv2,SMOTE,0.47600000000000015
MOGAT,SMOTE,0.48000000000000015
HyperTMO,SMOTE,0.5420000000000001
RGCN,SMOTE,0.4940000000000002
VEGN,SMOTE,0.5240000000000002
FastHGTConv,SMOTE,0.43000000000000016
SGNN,SMOTE,0.5500000000000003
HeteroGATv2,CTGAN,0.5360000000000003
MOGAT,CTGAN,0.5480000000000003
HyperTMO,CTGAN,0.5460000000000003
RGCN,CTGAN,0.4900000000000002
VEGN,CTGAN,0.5440000000000003
FastHGTConv,CTGAN,0.5740000000000002
SGNN,CTGAN,0.5380000000000003
HeteroGATv2,ROS,0.5340000000000004
MOGAT,ROS,0.5220000000000002
HyperTMO,ROS,0.5420000000000001
RGCN,ROS,0.4620000000000001
VEGN,ROS,0.4980000000000002
FastHGTConv,ROS,0.5060000000000002
SGNN,ROS,0.5260000000000002
HeteroGATv2,ROS+SF,0.5340000000000004
MOGAT,ROS+SF,0.5220000000000002
HyperTMO,ROS+SF,0.5420000000000001
RGCN,ROS+SF,0.4620000000000001
VEGN,ROS+SF,0.48000000000000015
FastHGTConv,ROS+SF,0.5540000000000003
SGNN,ROS+SF,0.5120000000000002
