auc,accuracy,precision,recall,recall_0,f1,fold,threshold,Model,Pipeline
0.926225820962663,0.9037037037037037,0.8548387096774194,0.9298245614035088,0.8846153846153846,0.8907563025210085,1,0.4400000000000001,HeteroGATv2,No Balancing
0.9313186813186812,0.8955223880597015,0.8620689655172413,0.8928571428571429,0.8974358974358975,0.8771929824561403,2,0.5000000000000002,HeteroGATv2,No Balancing
0.9004120879120879,0.8656716417910447,0.8275862068965517,0.8571428571428571,0.8717948717948718,0.8421052631578947,3,0.5400000000000003,HeteroGATv2,No Balancing
0.9464285714285714,0.9029850746268657,0.8771929824561403,0.8928571428571429,0.9102564102564102,0.8849557522123894,4,0.5500000000000003,HeteroGATv2,No Balancing
0.9284575074048758,0.8731343283582089,0.7941176470588235,0.9473684210526315,0.8181818181818182,0.864,5,0.5000000000000002,HeteroGATv2,No Balancing
0.9208277103013944,0.9037037037037037,0.8548387096774194,0.9298245614035088,0.8846153846153846,0.8907563025210085,1,0.47000000000000014,MOGAT,No Balancing
0.9166666666666666,0.8805970149253731,0.8703703703703703,0.8392857142857143,0.9102564102564102,0.8545454545454545,2,0.5800000000000003,MOGAT,No Balancing
0.9001831501831502,0.8731343283582089,0.8095238095238095,0.9107142857142857,0.8461538461538461,0.8571428571428571,3,0.5400000000000003,MOGAT,No Balancing
0.9482600732600732,0.917910447761194,0.8813559322033898,0.9285714285714286,0.9102564102564102,0.9043478260869565,4,0.5700000000000003,MOGAT,No Balancing
0.9316473000683527,0.8656716417910447,0.7910447761194029,0.9298245614035088,0.8181818181818182,0.8548387096774194,5,0.4500000000000001,MOGAT,No Balancing
0.7577597840755735,0.6814814814814815,0.6060606060606061,0.7017543859649122,0.6666666666666666,0.6504065040650406,1,0.5100000000000002,HyperTMO,No Balancing
0.8392857142857144,0.7761194029850746,0.7096774193548387,0.7857142857142857,0.7692307692307693,0.7457627118644068,2,0.5200000000000002,HyperTMO,No Balancing
0.8278388278388278,0.7686567164179104,0.6984126984126984,0.7857142857142857,0.7564102564102564,0.7394957983193278,3,0.5300000000000002,HyperTMO,No Balancing
0.8402014652014652,0.7761194029850746,0.7321428571428571,0.7321428571428571,0.8076923076923077,0.7321428571428571,4,0.5400000000000003,HyperTMO,No Balancing
0.832535885167464,0.7910447761194029,0.7457627118644068,0.7719298245614035,0.8051948051948052,0.7586206896551724,5,0.5200000000000002,HyperTMO,No Balancing
0.843229869545659,0.7925925925925926,0.6986301369863014,0.8947368421052632,0.717948717948718,0.7846153846153846,1,0.39000000000000007,RGCN,No Balancing
0.9008699633699634,0.8582089552238806,0.7605633802816901,0.9642857142857143,0.782051282051282,0.8503937007874016,2,0.4100000000000001,RGCN,No Balancing
0.8658424908424908,0.8134328358208955,0.7123287671232876,0.9285714285714286,0.7307692307692307,0.8062015503875969,3,0.4100000000000001,RGCN,No Balancing
0.9109432234432234,0.8582089552238806,0.8032786885245902,0.875,0.8461538461538461,0.8376068376068376,4,0.47000000000000014,RGCN,No Balancing
0.899293688767373,0.8208955223880597,0.72,0.9473684210526315,0.7272727272727273,0.8181818181818182,5,0.4500000000000001,RGCN,No Balancing
